Formulation name,Procedure
Abacavir Sulfate Oral Solution,"1. The pH range for this solution is from 3.8 to 4.5. 2. Charge 40% of the propylene glycol to an appropriately sized stainless steel and add methylparaben and propylparaben with mixing, and mix until dissolved. 3. Charge purified water into a stainless steel manufacturing tank equipped with a suitable mixer to approximately 40% of final batch volume. 4. Add sorbitol solution to the manufacturing tank. 5. While mixing, add item 1 and mix until dissolved. 6. While continuing to mix the solution, the paraben/ glycol solution, the remaining propylene glycol, artificial strawberry flavor, artificial banana flavor, saccharin sodium, citric acid anhydrous, and sodium citrate dihydrate are added and mixed until dissolved. 7. Turn off the mixer and bring the solution to a volume of 500 L, and mix until a homogeneous solution is achieved. 8. Measure and adjust pH to 3.8 to 4.5 with sodium hydroxide or hydrochloric acid. 9. Filter the solution through a clarifying filter into an appropriately sized receiving vessel."
Acetaminophen Rectal Solution,1. Mill and screen the acetaminophen to further reduce the particle size. 2. Add the acetaminophen into a clean vessel. 3. Add propylene glycol to the vessel. 4. Subsequently add the poloxamer and water to the vessel. Mix until uniform.
Acetaminophen Drops,"Caution: Ensure that the solution in the tank never exceeds 65°C. 1. Add 739 g propylene glycol to jacketed mixing tank and start heating with slow mixing. 2. Dissolve dye in 2.5 mL purified water and add to tank while mixing. Rinse container with small amount of purified water and add to tank. 3. While mixing, add acetaminophen, saccharin sodium, and sodium chloride. 4. Hold at 60° to 65°C with continued moderate mixing until it is all in solution. 5. Force cool to less than 30°C with slow mixing. 6. Blend flavor with alcohol and add to tank with slow mixing. 7. Add purified water with mixing q.s. to make 1 L. 8. Mix well with moderate agitation until uniform. 9. Filter through 8-micron Millipore membrane (or equivalent)."
Acetaminophen Oral Suspension,"1. Acetaminophen dispersion should be uniformly mixed or levigated. If acetaminophen dispersion is either added to hot syrup base or homogenized for a long time, flocculation may appear. While handling the syrup, mucilage, or drug dispersion, the handling loss should not be more than 1%. If the loss exceeds 1%, it may give poor suspension. 2. Add 180 g of item 13 to the mixer and heat to 90°C. 3. Dissolve items 3 and item 4 while mixing. Add and dissolve item 2 while mixing. Cool down to about 50° to 55°C. 4. Add and dissolve item 5 while mixing. Filter the syrup through T 1500 filters washed with item 13. Collect the syrup in clean stainless steel tank. 5. Disperse item 9 in item 6 in a separate stainless steel container. Add 40 g of hot item 13 (90°C) at once while mixing. Mix for 20 minutes to make a homogeneous smooth mucilage. 6. Mix item 7 in 10 g of item 13 (25°C) in a separate stainless steel container. Add item 1 while mixing with stirrer. Mix for 25 minutes to make uniform suspension. 7. Add sugar syrup and mucilage to the mixer. Rinse the container of mucilage with 15 g of item 13 and add the rinsings to the mixer. Cool to 25°C while mixing. 8. Add item 1 dispersion to the mixer. Rinse the container of dispersion with 15 g of item 13 and add rinsings to the mixer. Check the suspension for uniformity of dispersion. 9. Mix for additional 5 minutes at 18 rpm, vacuum 0.5 bar if required. 10. Add item 8 to the mixer and mix for 10 minutes. Dissolve item 10 in 7 g of item 13 and add to the mixer. 11. Disperse item 11 in 7 g of item 13 and add to the mixer. Add item 12 to the mixer. 12. Add cold item 13 (25°C) to make up the volume up to 1.0 L. 13. Homogenize for 5 minutes at low speed under vacuum 0.5 bar, 18 rpm, temperature 25°C. 14. Check the dispersion for uniformity. 15. Check the pH. Limit 5.7 ± 0.5 at 25°C. If required adjust the pH with 20% solution of Citric Acid or Sodium Citrate. 16. Transfer the suspension through 630 micron sieve after mixing for 5 minutes at 18-20 rpm, temperature NMT 25°C, to the stainless steel storage tank."
Acetaminophen Suspension,"1. Prepare the solution of dextrose in water and add the other solid ingredients with stirring in the following sequence: citric acid, sodium citrate, orange flavor, Kollidon CL-M, and acetaminophen. 2. A white, homogeneous suspension is obtained."
Acetaminophen Syrup for Children,"1. Dissolve Kollidon in water, add acetaminophen and cyclamate, heat to 50°C, and stir to obtain a clear solution. 2. Dissolve the flavors and mix with glycerol. The obtained syrup is a viscous, clear, sweet, and only slightly bitter liquid."
Acetaminophen Syrup,"1. Dissolve first Kollidon 25 and then the other solid components in the solvent mixture of glycerol, propylene glycol, and water. 2. The result is a clear solution of certain viscosity having only a slightly bitter taste. To prevent discoloration during storage, 0.2 to 0.5% cysteine could be added as an antioxidant."
Acetaminophen Syrup (2),"1. Add 300 mL purified water to a jacketed stainless steel mixing tank. Start heating. 2. Add sugar with mixing. 3. Heat to 60°– 65°C and hold. Mix for complete solution. 4. Add, while mixing, sodium citrate, citric acid, sodium saccharine, and sodium chloride. Mix for complete solution. Add propylene glycol by mixing. 5. Add acetaminophen powder with moderate mixing. Continue mixing at 60° – 65°C for complete solution. Force cool to 25° – 30°C with slow mixing. 6. Blend cherry flavor with approximately twice its volume of alcohol and add with mixing. Rinse the container with several portions of alcohol and add. Mix until uniform. 7. Dissolve red dye in approximately 4.0 g of slightly warmed (50° – 60°C) purified water and add by mixing. Rinse the container twice with approximately 1.5 g purified water and add to step 6. 8. Mix until uniform. Adjust volume to 1 L with purified water. Mix well. 9. Add a small amount of hyflo filter aid to the mixing tank and continue to mix slowly while filtering. 10. Filter through press until sparkling clear. Use clarifying pad backed by lint-free filter paper."
"Acetaminophen, Chlorpheniramine, and Pseudoephedrine Syrup","1. Add 200.0 g of item 16 to the manufacturing vessel and heat to 90° to 95°C. 2. Add item 13 while mixing at slow speed. Keep temperature at 90° to 95°C. 3. Mix for 1 hour at high speed. Add items 12, 10, and 11 to the manufacturing vessel at step above while mixing at high speed. Mix for 10 minutes. 4. Cool the temperature to 50°C while mixing at slow speed. 5. Add 70.0 g of item 9 to the syrup solution while mixing at slow speed. Load item 1 to the manufacturing vessel at step above while mixing at high speed. 6. Mix for 30 minutes to get clear solution. Check the clarity of the solution. Flush the solution with nitrogen gas for 5 minutes at 1 bar. 7. Add items 6, 8, 4, and 2 to the manufacturing vessel at step above while mixing at slow speed. Dissolve item 3 in 2.0 g of item 16 (at 25°C) and check that solution is complete. 8. Add the solution to the manufacturing vessel while mixing at slow speed. 9. Dissolve item 15 in 10.0 g of item 9 in a stainless steel container and add to the manufacturing vessel while mixing at slow speed. 10. Dissolve items 5 and 7 in 20.0 g of item 16 (25°C) and add to the manufacturing vessel at the step above while mixing at slow speed. Dissolve item 14 in 2.0 g of item 16 (at 25°C). 11. Transfer the color solution to the manufacturing vessel while mixing at slow speed. Rinse the container of color solution with 2.0 g of item 16 (25°C), then transfer the rinsing to the manufacturing vessel and mix for 5 minutes at high speed. 12. Make up the volume to 1.0 L with item 16, and finally, mix for 15 to 20 minutes at high speed. 13. Check and record the pH; the limit is 5.1 to 5.2. If required, adjust pH with 10% citric acid or 10% sodium citrate solution. 14. Assemble the filter press with 13.1 T 1000 12 sheets (K 800 14 sheets). Use changeover plate. 15. Wash the filters using about 200 L purified water (at 25°C) by passing water through filters at 0.2 bar, and discard the washings. 16. Filter the syrup at 1.5 bar. 17. Recirculate about 20 to 30 mL syrup. Connect the hose to the manufacturing vessel and transfer the filtered syrup to the storage vessel."
Acyclovir Oral Suspension,"1. Disperse item 1 in item 6. Keep stirring by stirrer for 1 hour. 2. Heat 333.33 g of item 8 in mixer to 90° to 95°C. Dissolve items 2 and 3 while mixing. Cool to 30°C. 3. Disperse items 4 and 5 in a stainless steel container and keep stirring for 1 hour. 4. Add step 3 into step 2 at 30°C. Mix and homogenize for 5 minutes at high speed under vacuum 0.5 bar. 5. Add step 1 in to step 2 and mix for 5 minutes. 6. Disperse item 7 in 13.33 g of item 8. Add into step 2. 7. Make up the volume with item 8. Finally, homogenize for 5 minutes at high speed under vacuum 0.5 bar."
